DeveloperName,RERA_Number,ProjectName,ConstructionStatus,PropertyType,Location,PossessionDate,IsGatedCommunity,TotalUnits,AreaSizeAcres,Configurations,MinSizeSqft,MaxSizeSqft,PricePerSqft,PricePerSqftOTP,Longitude/Latitude,ProjectDocumentsLink,Source,BuilderContactInfo,ListingType,LoanApprovedBanks,NearbyLocations,RemarksComments,Amenities,FAQ,Commission,CPOnboardStatus,CPOnboardStatusComments,POCNumber,AvailabilityWithSS,No.of parkings for respective configurations,Open Space (x%),Grand Entrance lobby for each block (Yes/No),"Faces (East, West, North)",Smart home features (Yes/No),Gas connection type (Central/Individual),Construction material (Concrete/Brick type),Ground Vehicle Movement (Yes/No/Partial)
Urbanrise,"P02200002793, P02200003724,P02200004835",Urbanrise On Cloud 33,UC,Apartment,"Bachupally Main Road, Next To Mamata Academy of Medical Sciences, Bachupally, Hyderabad, Telangana, 500090, India",March 2026,TRUE,2600,9.15,"2BHK, 3BHK, 4BHK",1110,2021,7500,,"17.539744115782046, 78.35855181109751",https://drive.google.com/file/d/146A-IJUXRKQiyrDxsu2rflGKeHSnNuUb/view?usp=drive_link,"Website , Housing , Square Yards",,,,"DARBAR RESTAURANT AND BAR,HOTEL HIBISCUS TREE,PEG BRO",,"Amphitheater
Volleyball Court
24X7 Water Supply
Car Parking
Multipurpose Room
Senior Citizen Siteout
Street Lighting
Indoor Games
Food Court
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Salon
Steam Room
Party Hall
24x7 CCTV Surveillance
Community Hall
Banquet Hall
Maintenance Staff
Laundromat
24x7 Security
Cafeteria
Grocery Shop
Swimming Pool
Vastu Compliant
Landscaping & Tree Planting
Gymnasium
Fire Fighting System
Squash Court
Jogging Track
Gated Community
Sports Facility
Lawn Tennis Court
Club House
Entrance Lobby
Yoga / Meditation Area
Barbecue Area
Lift(s)
Terrace Garden
Badminton Court
Aerobics Room
RO Water System
Sun Deck
Restaurant
Basketball Court
Conference Room
Paved Compound
Carrom
Power Backup","Q:
Is there a promised date of completion under RERA?
A:
Date of completion as provided to RERA is May, 2023.

Q When was the project launched?
A:
Samanvi Codename Talk Of Hyderabad was launched in Apr, 2020",0.00%,,said to visit the place and talk to the manager,9711816070,,,,,,,,,
Fortune Green Homes Falcon,P02400000079,Fortune Green Falcon,UC,Apartment,"Alkapoor Township, Puppalaguda, Hyderabad, Telangana, India ",2/1/2024,TRUE,120,1.41,3BHK,1135,1765,8100,,"17.395012997084248, 78.36472374417828",https://drive.google.com/file/d/1OH-4XrFPNedZTeNMRm6fvLlMLCrXZI-u/view?usp=drive_link,"Builder Site , Housing",,Builder,,"Kalingapatnam Restaurant,FabHotel W Grand Suites - Hotel in Manikonda,SHREE Bar, Restaurant & Banquet Hall",,"Internet / Wi-Fi
Solar Lighting
Swimming Pool
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Gymnasium
Water Softner Plant
Community Buildings
Car Parking
24X7 Water Supply
Gated Community
Indoor Games
Sewage Treatment Plant
Club House
Intercom
Children's Play Area
Steam Room
Recreation Facilities
Lift(s)
Badminton Court
24x7 CCTV Surveillance
Open Car Parking
Paved Compound
Banquet Hall
Rain Water Harvesting
Electrical meter Room
Energy management
Power Backup","Q:
Does the project have RERA registration and number?
A:
The project is registered on RERA and RERA ID for the project is P02400000079.
Q:
Does the project have a gymnasium?
A:
Yes, there is a Gym in the society",2.00%,TRUE,Said to directly visit with the customer,8008007859,,,,,,,,,
Candeur Projects,P02500004515,Candeur Crescent,UC,Apartment,"Survey No. 106, 107, next to Sancta Maria International School, Seriliingampally, North Hyderabad, Hyderabad",12/1/2025,TRUE,1230,5.5,3BHK,1958,2656,8680,,"17.481176, 78.319737",https://drive.google.com/file/d/1-d6T-Q83z8Q1U03xhR6yyXDUUw1MKzsw/view?usp=drive_link,Housing,,Builder,,"The Scam Bar & Kitchen,MK SUITES Hotel,K-Grill Bar & Kitchen",,"Amphitheater
Sauna Bath
Spa
Swimming Pool
Table Tennis
Gymnasium
Flower Garden
Medical Store/Pharmacy
Squash Court
Car Parking
Indoor Games
Pergola
Cycling & Jogging Track
Club House
Children's Play Area
Entrance Lobby
Yoga / Meditation Area
Security Cabin
Salon
Steam Room
Barbecue Area
Board Games
Football Field
Badminton Court
Aerobics Room
Terrace Garden
Restaurant
Basketball Court
Conference Room
Banquet Hall
ATM
Billiards / Snooker Table","Q:
Is Candeur Crescent registered with RERA. If, yes, then what is the RERA registration number?
A:
Yes, Candeur Crescent is registered with RERA, and the RERA registration number is P02500004515.
Q:
Does Candeur Crescent have a swimming pool?
A:
Yes, Candeur Crescent has a swimming pool.",,,said to visit the office tomorrow,7416537666,TRUE,,,,,,,,
Hallmark buiders,P02400003042,Hallmark Skyrena,UC,Apartment,"Narsingi, Hyderabad, Telangana, India",October 2024,TRUE,678,6.9,"2BHK, 3BHK",1280,2255,8700,,"17.381808580942447, 78.36322179390532",https://drive.google.com/file/d/1oK32pSM-CZVjtqGduly36iyBipq-3Mu1/view?usp=drive_link,"Housing , Square Yards",,Builder,,"Beyond Flavours,Hyatt Hyderabad Gachibowli,Cock & Bull Hyderabad",,"Waiting Lounge
Reception
Mini Theatre
Guest Bedroom
Kids Play Station
Skating Rink
Squash Court
Banquet Hall
Swimming Pool
Unisex Salon
Spa
Gymnasium
yoga / Meditation Center
Indoor Sports
Aerobics
Library
Coffee Shop
Guest Rooms - 4","Q:
What is the rera registration number of the project?
A:
The project is registered on RERA and RERA ID for the project is P02400003042.
Q:
Do we have electricity backup during power cut?
A:
Yes, power backup is available.",,,not interested,9905099999,,,,,,,,,
Urbanrise,"P02200002793, P02200003724,P02200004835",Urbanrise On Cloud 33,UC,Apartment,"Bachupally Main Road, Next To Mamata Academy of Medical Sciences, Bachupally, Hyderabad, Telangana, 500090, India",3/1/2026,TRUE,1900,9.15,"2BHK , 3BHK , 4BHK",1099,2021,7980,,"17.539533, 78.358087",https://drive.google.com/file/d/146A-IJUXRKQiyrDxsu2rflGKeHSnNuUb/view?usp=drive_link,"Website , Housing",,Builder,,"DARBAR RESTAURANT AND BAR,HOTEL HIBISCUS TREE,PEG BRO",,"Amphitheater
Volleyball Court
24X7 Water Supply
Car Parking
Multipurpose Room
Senior Citizen Siteout
Street Lighting
Indoor Games
Food Court
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Salon
Steam Room
Party Hall
24x7 CCTV Surveillance
Community Hall
Banquet Hall
Maintenance Staff
Laundromat
24x7 Security
Cafeteria
Grocery Shop
Swimming Pool
Vastu Compliant
Landscaping & Tree Planting
Gymnasium
Fire Fighting System
Squash Court
Jogging Track
Gated Community
Sports Facility
Lawn Tennis Court
Club House
Entrance Lobby
Yoga / Meditation Area
Barbecue Area
Lift(s)
Terrace Garden
Badminton Court
Aerobics Room
RO Water System
Sun Deck
Restaurant
Basketball Court
Conference Room
Paved Compound
Carrom
Power Backup","Q:
Is there a promised date of completion under RERA?
A:
Date of completion as provided to RERA is May, 2023.

Q When was the project launched?
A:
Samanvi Codename Talk Of Hyderabad was launched in Apr, 2020",,TRUE,said to visit the place and talk to the manager,9711816070,TRUE,,,,,,,,
Urbanrise,P01100002200,Urbanrise Spring Is In The Air,RTM,Apartment,"Ameenpur, Hyderabad, Telangana, India",10/1/2023,TRUE,810,28.65,"2BHK, 3BHK",810,1039,7510,,"17.52302052105441, 78.34602752274097",https://drive.google.com/file/d/1t-3e0UPSh65m2p6t-tzezxgGrgkso1ZE/view?usp=drive_link,"Housing , Square Yards",,Builder,,"Tummy Crunch,HOTEL HIBISCUS TREE,Lotus Grand Bar & Restaurant",,"Amphitheater
Cricket Pitch
Tennis Court
Gazebo
Skating Rink
Swimming Pool
Vastu Compliant
Fire Sprinklers
Landscaping & Tree Planting
Table Tennis
Kid's Pool
Gymnasium
Fire Fighting System
Squash Court
Car Parking
24X7 Water Supply
Multipurpose Room
Jogging Track
Senior Citizen Siteout
Street Lighting
Gated Community
Indoor Games
Sports Facility
Lawn Tennis Court
Sewage Treatment Plant
Club House
Intercom
Children's Play Area
Entrance Lobby
Yoga / Meditation Area
Salon
Theme Park
Lift(s)
Aerobics Room
Badminton Court
Creche/Day Care
24x7 CCTV Surveillance
Sun Deck
Multipurpose Hall
Basketball Court
Paved Compound
Spa/Sauna/Steam
Beach Volley Ball Court
Banquet Hall
Rain Water Harvesting
24x7 Security
Power Backup","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P01100002200.
Q:
What kind of recreational facilities does the locality have?
A:
Yes",,,said to visit the place and talk to the manager,9711816070,,,,,,,,,
Ramky Estates Farms Ltd,P02400005064,Ramky One Orbit,UC,Apartment,"Nallagandla, Gachibowli, Hyderabad, Telangana, India",July 2028. ,TRUE,518,5.23,"3BHK, 4+BHK, 4BHK",1180,1855,8880,,"17.46188873024901, 78.3064514576713",https://drive.google.com/file/d/1O5lpSjUTigLami-ojwWK1ck_VgzSkxiD/view?usp=drive_link,"Housing , Square Yards",,Builder,,"The Scam Bar & Kitchen,OYO SilverKey 74581,K-Grill Bar & Kitchen",,"Recreation Facilities
Solid Waste Management And Disposal
Storm Water Drains
Open Parking
Landscaping & Tree Planting
Internal Roads & Footpaths
Water Conservation, Rain water Harvesting
Electrical meter Room
Fire Fighting System
Electrification(Transformer, Solar Energy)","Q:
Is this a purely residential area?
A:
Yes
Q:
How much has the project appreciated over the years?
A:
Project price has appreciated by 1.08% in last 1 year",,,no response,733702388822,,,,,,,,,
Ramky Estates Farms Ltd,P02400003991,Ramky One Odyssey,UC,Apartment,"Kokapet, Hyderabad, Telangana, India",3/1/2027,TRUE,783,5.3,"3BHK, 4+BHK, 4BHK",1750,3020,10970,,"17.398841192047524, 78.34377430554916",https://drive.google.com/file/d/1GXIVCvXb6QJ3E0m7UBuQ0ww6JYPhkMjT/view?usp=drive_link,"Website , Housing",,Builder,,"Beyond Flavours,Hyatt Hyderabad Gachibowli,Cock & Bull Hyderabad",,"Amphitheater
Cricket Pitch
Spa
Table Tennis
Mini Theatre
Kid's Pool
Medical Facilities
Car Parking
24X7 Water Supply
Senior Citizen Siteout
Indoor Games
Shopping Mall
Party Lawn
Children's Play Area
Salon
Chess Board
Maintenance Staff
Banquet Hall
Rain Water Harvesting
24x7 Security
Cafeteria
Waiting Lounge
Grocery Shop
Garbage Disposal
Swimming Pool
Landscaping & Tree Planting
Fire Fighting System
Gymnasium
Squash Court
Golf Course
Jogging Track
Gated Community
Lawn Tennis Court
Club House
Entrance Lobby
Yoga / Meditation Area
Barbecue Area
Lift(s)
Badminton Court
Aerobics Room
Creche/Day Care
Sun Deck
Restaurant
Multipurpose Hall
Basketball Court
Car Wash Area
ATM
Carrom
Billiards / Snooker Table","Q:
What are the rental rates in the area?
A:
Locality price has appreciated by 6.14% in last 1 year
Q:
Is there a pool?
A:
Yes",,,no response,7337023888,,,,,,,,,
Hallmark builders,P01100004147,Hallmark Pinnacle,UC,Apartment,"Kollur, Hyderabad, Telangana, India",12/31/2025,,798,7.14,"2BHK, 3BHK",1285,1885,6000,,"17.510299, 78.240230",https://drive.google.com/file/d/1CM4ph0AQDzILiLuR9741pZHWQW-YsdL5/view?usp=drive_link,Housing,,Builder,,"Palegars CUISINE Restaurant,Super OYO Flagship Hotel Stay,Lucky Bar",,"Sub-Station
Fire Sprinklers
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Footpaths/Pedestrian
Fire Fighting System
Community Buildings
Closed Car Parking
Car Parking
24X7 Water Supply
Street Lighting
Gated Community
Sewage Treatment Plant
Club House
Children's Play Area
Recreation Facilities
Solid Waste Management And Disposal
Lift(s)
Receiving Station
Storm Water Drains
Internal Roads & Footpaths
24x7 Security
Energy management
Electrical meter Room
Power Backup","Q:
What is the rate of appreciation in the area?
A:
Prices in Pati has increased by -8.21% in last 1 year
Q:
Do we have electricity backup during power cut?
A:
Yes",,,requested for company visit,+91 91549 02001,,,,,,,,,
Urbanrise Lifestyles Private Limited,P02200003508,Urbanrise The Happening Heights,UC,Apartment,"Bachupally Extension, Hyderabad, Telangana, India",June 2025. ,TRUE,847,5,2BHK,1172,1191,4300,,"17.597539, 78.405403",https://drive.google.com/file/d/1IFIST8AjAe9GpJh4ORd27dqTcUPVbiJA/view?usp=drive_link,"Website , Housing",,Builder,,"BY WAY 6 RESTAURANT,Vishal Prakruthi Resorts,BEER POLITICS BAR & KITCHEN",,"The project boasts modern amenities such as a gymnasium, children’s play area, kid’s pool, swimming pool, cricket pitch, basketball court, and barbecue area. ","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02200003508.
Q:
Does the project have a swimming pool?
A:
Yes, swimming pool is there within the society premises.",,,said to visit the place and talk to the manager,9711816070,,,,,,,,,
